	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
BD55-4360	BD55-4360	Inf	8.32987	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.248	1.882	2.568	3.048	2.891	2.047	3.234	3.007	3.394	2.653	2.628	3.034	2.336	3.189	3.467	2.144	2.769	2.252	2.865	3.639	3.215	0.816	--	--	--
BD55-4364	BD55-4364	Inf	1.65737	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.493	3.487	3.454	3.527	3.542	3.486	3.532	3.436	3.504	3.525	3.514	3.325	0.635	3.48	3.387	2.956	1.548	0.432	0.583	1.144	0.803	1.037	3.412	3.486	0.021227768
BD55-4382	BD55-4382	2.3416	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0	0	0.093	0.069	0.969	0.056	0.047	0.161	0.047	0.081	0.064	0.064	0.045	0.046	0.057	0.063	0.052	0.117	0.052	0.071	0.049	0.178	0.056	0.057	3.258	3.348	0.02688172
BD55-4392	BD55-4392	Inf	0.432803	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	0	3.326	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.287	3.328	0.012319712
BD55-4394	BD55-4394	Inf	0.66283	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.419	3.418	3.414	3.485	3.516	3.444	3.504	3.43	3.522	3.528	3.475	3.21	0.091	3.477	3.399	0.779	0.51	0.122	0.063	0.281	0.108	0.084	3.259	3.302	0.013022411
BD55-4397	BD55-4397	2.17892	0.16166	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf	--	--	--	3	2	3.545	3.519	3.455	3.553	3.563	3.514	3.515	0.662	3.514	3.545	3.487	3.226	3.203	3.584	3.457	3.513	3.48	3.44	3.389	3.15	3.219	2.875	3.416	3.498	0.023441967
BD55-4418	BD55-4418	2.46685	--	--	--	--	9.64847	--	--	--	--	--	--	--	--	3	2	3.317	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-4464	BD55-4464	3.32122	1.38742	--	--	--	Inf	--	--	--	--	--	--	--	--	3	2	3.356	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-4467	BD55-4467	Inf	0.9561	7.27367	4.72387	8.93908	Inf	8.293	Inf	Inf	19.4386	Inf	--	--	--	3	2	3.49	3.427	3.533	2.858	3.553	3.526	3.555	3.215	3.237	3.041	3.385	3.084	3.139	0.192	3.472	3.297	3.449	3.275	3.427	3.361	3.13	3.058	3.242	3.39	0.043657817
BD55-4483	BD55-4483	0.0620029	0.0119113	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0516905	0.00478304	--	--	--	3	0	3.48	3.33	3.04	1.98	3.53	3.22	3.41	3.46	3.426	3.57	3.403	3.059	0.321	0.93	3.32	0.1	0.16	0.577	0.327	0.278	0.274	0.203	1.32	3.461	0.618607339
BD55-4484	BD55-4484	0.0263631	0.0340209	0.0623387	0.0807321	0.160334	0.196313	0.223821	0.2881	0.351793	0.0395483	0.0191844	--	--	--	2	2	3.47	3.34	3.08	3.02	3.47	2.74	2.91	3.359	3.294	3.571	3.414	2.965	0.381	1.37	1.43	0.29	0.17	0.577	0.384	0.365	0.367	0.196	3.388	3.488	0.028669725
BD55-4495	BD55-4495	0.0293798	0.0100871	0.12973	0.360624	0.146449	0.21742	0.1406624	0.1188923	0.1362181	Inf*	Inf*	--	--	--	2	2	3.47	0.06	0.11	0.06	3.43	2.66	0.53	0.983	1.26	3.549	3.369	0.185	0.17	0.16	0.14	0.39	0.06	0.48	0.265	0.173	0.228	0.136	3.449	3.479	0.008623168
BD55-4637	BD55-4637	0.0200628	0.00367349	0.0226801	0.0397017	0.02245147	0.02532	0.019233	0.01512	0.0242664	0.0200248	0.00323124	--	--	--	3	2	3.47	2.83	3.21	1.56	3.49	2.81	3.19	3.422	3.302	3.565	3.392	3.001	0.103	3.17	3.06	0.05	0.05	0.5	0.053	0.047	0.123	0.057	0.654	3.375	0.806222222
BD55-4662	BD55-4662	0.00254498	Inf*	--	--	--	0.2282253	--	--	--	--	--	--	--	--	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-4664	BD55-4664	0.0803176	0.0255233	0.208958	0.499388	0.242147	0.2056	0.286046	0.3912	0.2965137	Inf*	Inf*	--	--	--	3	2	3.45	0.25	0.43	0.83	3.4	2.66	0.4	0.773	0.591	3.486	3.386	0.273	0.259	0.25	0.17	0.14	0.1	0.548	0.357	0.214	0.271	0.144	3.453	3.494	0.011734402
BD55-4707	BD55-4707	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.571	3.507	3.511	3.106	3.575	3.612	3.554	3.481	3.406	2.862	3.483	3.224	3.308	0.068	3.508	3.487	3.444	3.357	3.143	3.197	3.388	2.742	3.22	3.467	0.07124315
BD55-4760	BD55-4760	0.242208	0.0315356	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.351478	0.0044212	--	--	--	3	2	3.45	2.82	2.82	2.43	3.45	2.88	3.2	3.064	3.276	3.561	3.411	2.958	3.042	2	2.4	3.24	2.49	1.729	2.954	3.382	3.367	2.73	0.75	3.425	0.781021898
BD55-4804	BD55-4804	Inf	0.106045	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.432	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.366	3.507	0.040205304
BD55-4892	BD55-4892	0.30633	0.82143	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.04047	Inf	--	--	--	2	0	3.28	2.91	2.9	2.16	2.91	2.14	2.77	2.93	2.734	3.352	3.22	2.434	0.62	0.22	0.21	0.19	0.12	0.632	0.608	0.318	0.686	0.174	3.206	3.348	0.042413381
BD55-5001	BD55-5001	0.00677287	0.0079593	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	2	2	3.48	0.05	2.22	0.05	3.35	2.72	1.28	2.638	2.79	3.46	3.417	0.067	0.457	0.06	0.05	0.05	0.05	0.509	0.383	0.081	0.055	0.103	3.186	3.404	0.064042303
BD55-5163	BD55-5163	0.0336955	0.00155116	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0287993	Inf*	--	--	--	3	2	3.49	0.05	3.09	0.1	3.38	3.04	3.13	3.379	3.358	3.52	3.409	0.057	0.236	1.28	0.84	0.06	0.05	0.452	0.178	0.065	0.059	0.067	2.192	3.458	0.366107577
BD55-5164	BD55-5164	2.19245	0.0641756	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	--	--	--	--	--	3	0	3.456	3.218	3.527	1.756	3.493	3.489	3.509	3.197	3.414	2.639	3.476	3.205	3.067	3.027	3.446	2.778	1.918	3.208	1.601	0.502	2.464	1.969	1.218	3.504	0.65239726
BD55-5166	BD55-5166	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	0	2.948	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5167	BD55-5167	0.0368743	0.0204181	Inf	Inf	--	Inf	--	--	--	0.0320477	0.00333349	--	--	--	3	2	3.52	3.38	3.06	2.61	3.35	2.84	3	--	--	--	--	--	--	3.29	3.15	3.34	3.09	--	--	--	--	--	--	--	--
BD55-5168	BD55-5168	0.0639125	0.00491449	0.0663024	0.0370547	0.490837	0.321354	0.434419	0.09821	0.676743	0.0516976	Inf*	--	--	--	3	2	3.48	0.26	3.31	0.31	3.46	3.11	3.13	3.316	3.249	3.463	3.435	2.999	0.346	3.46	3.13	0.25	0.17	0.496	0.33	0.274	0.327	0.178	1.989	3.501	0.431876607
BD55-5170	BD55-5170	0.0218	0.0062	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0113712	0.00295785	--	--	--	3	2	3.51	3.28	3.46	3.25	3.41	2.96	3.11	3.447	3.34	3.494	3.466	3.239	1.728	1.28	3.13	2.24	1.08	0.96	1.009	1.668	2.547	0.643	0.392	3.108	0.873873874
BD55-5171	BD55-5171	0.00201268	0.00753054	Inf	Inf	--	Inf	--	--	--	0.522701	0.053904	--	--	--	3	0	3.48	1.54	2.6	1.46	3.41	2.66	2.92	--	--	--	--	--	--	0.57	1.52	0.47	0.36	--	--	--	--	--	--	--	--
BD55-5175	BD55-5175	0.000460097	0.00227094	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	3.10352	0.96739	--	--	--	3	0	3.48	1.84	2.57	0.57	3.41	2.83	3.21	3.321	3.316	3.469	3.458	2.212	0.598	0.5	0.96	0.19	0.11	0.644	0.342	0.393	0.785	0.211	2.96	3.473	0.147710913
BD55-5176	BD55-5176	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.26	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5182	BD55-5182	0.256303	0.0600886	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	2.99294	0.00519817	--	--	--	2	2	3.44	3.23	3.26	2.78	3.37	2.99	3.14	3.289	3.288	3.465	3.423	3.144	3.374	3.25	2.96	3.33	2.93	2.982	3.274	3.432	3.436	3.313	3.202	3.421	0.064016369
BD55-5183	BD55-5183	0.382	Inf	Inf*	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	3	0	3.472	0.057	1.133	0.041	3.374	3.524	3.512	3.386	3.422	2.125	3.5	0.231	0.068	3.417	0.102	0.101	0.052	0.131	0.051	0.067	0.071	0.051	3.412	3.472	0.017281106
BD55-5189	BD55-5189	0.00752324	0.00246271	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.017134	0.000840283	--	--	--	3	2	3.27	2.45	3.09	2.1	3.17	3.15	3.33	3.377	3.324	3.443	3.417	3.136	0.622	1.67	3.06	0.14	0.57	0.582	1.596	1.458	0.877	0.988	0.742	3.265	0.772741194
BD55-5195	BD55-5195	0.3192	0.0064	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.5997	0.883861	--	--	--	2	0	3.45	1.03	2.06	0.7	1.73	1.66	1.37	1.522	1.467	3.356	3.379	0.577	0.751	0.15	0.75	0.1	0.07	0.687	0.586	0.238	0.22	0.134	3.055	3.351	0.088331841
BD55-5196	BD55-5196	0.24542	0.00992566	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0391226	0.00981666	--	--	--	3	0	3.49	3.01	3.34	1.6	3.42	2.79	3.28	3.23	3.161	3.491	3.409	2.855	0.816	3.21	2.96	0.05	0.05	0.493	0.992	0.137	0.079	0.245	1.474	3.414	0.568248389
BD55-5198	BD55-5198	2.07958	--	Inf*	--	--	Inf	--	--	--	--	--	--	--	--	3	0	2.74	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5200	BD55-5200	0.184968	0.0069906	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	2	0	3.46	0.05	0.08	0.07	3.38	2.76	0.2	0.502	0.265	3.439	3.413	0.049	0.574	0.06	0.05	0.05	0.05	0.501	0.409	0.109	0.053	0.071	3.33	3.392	0.018278302
BD55-5201	BD55-5201	0.0188402	0.0420567	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.13405	0.00765276	--	--	--	3	0	3.51	3.1	3.26	1.78	3.45	2.77	3.19	3.277	3.161	3.44	3.408	2.928	0.547	0.08	2.86	0.06	0.06	0.526	0.296	0.135	0.123	0.085	1.701	3.393	0.49867374
BD55-5205	BD55-5205	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.524	3.486	3.496	3.074	3.531	3.599	3.523	3.444	3.357	2.954	3.476	3.269	3.374	3.446	3.491	3.51	3.458	3.445	3.355	3.43	3.465	3.15	2.808	3.374	0.167753408
BD55-5212	BD55-5212	0.925151	0.0368546	3.30136	2.17842	6.932	4.42437	4.32526	3.912	5.291	0.645954	Inf	--	--	--	2	2	3.48	2.92	3.14	2.7	3.19	1.65	3.1	3.103	2.821	3.34	3.395	1.692	3.322	3.38	3.25	3.4	3.41	2.812	3.358	3.478	3.472	3.26	3.305	3.38	0.022189349
BD55-5215	BD55-5215	1.2267	0.0679893	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	3.81251	0.0209209	--	--	--	3	2	3.49	3.43	3.44	3.02	3.48	2.56	3.37	3.123	3.225	3.495	3.471	3.066	3.25	3.48	3.32	3.47	3.19	2.818	3.297	3.452	3.467	3.14	3.276	3.347	0.021213027
BD55-5219	BD55-5219	0.0136366	0.00222768	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	18.9383	Inf*	--	--	--	3	0	3.48	0.16	1.71	1.01	3.42	2.95	2.84	3.104	2.871	3.521	3.464	0.215	1.1	0.25	0.34	0.31	0.2	0.763	0.961	0.973	0.74	0.59	2.921	3.28	0.10945122
BD55-5223	BD55-5223	0.139792	0.0309889	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0742852	0.00406337	--	--	--	3	0	3.47	3.13	3.23	2.94	3.41	2.59	3.22	3.248	3.071	3.448	3.409	3.083	1.137	2.82	3.13	0.37	0.41	0.894	2.999	1.09	0.95	1.788	1.679	3.249	0.483225608
BD55-5226	BD55-5226	0.7192	0.0363	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0713062	0.00338805	--	--	--	3	0	3.59	3.46	3.09	1.69	3.44	3.28	3.25	3.265	3.1	3.508	3.504	3.214	0.729	1.84	3.45	0.05	0.06	0.804	0.888	0.13	0.157	0.147	0.745	3.082	0.758273848
BD55-5228	BD55-5228	0.006	0.0045	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.549644	0.687125	--	--	--	3	0	3.48	0.56	3.13	0.61	3.18	3.09	2.9	2.787	3.076	3.433	3.455	0.27	0.44	0.18	0.7	0.24	0.12	0.242	0.089	0.17	0.148	0.315	2.99	3.431	0.128533955
BD55-5233	BD55-5233	0.5121	0.0023	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0111072	Inf*	--	--	--	3	0	3.52	0.54	3.2	1.05	3.36	3.27	3.13	3.331	3.186	3.412	3.398	2.976	0.207	0.87	3.16	0.09	0.2	0.146	0.055	0.072	0.083	0.133	1.359	3.375	0.597333333
BD55-5234	BD55-5234	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.442	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5236	BD55-5236	0.211974	0.0461609	Inf	Inf	Inf	Inf	Inf	Inf	Inf*	0.0511856	0.0039201	--	--	--	3	2	3.57	3.031	3.195	2.763	3.354	3.4	3.217	3.153	3.236	3.284	3.244	2.993	0.23	1.376	2.996	0.711	0.411	0.344	0.215	0.369	0.375	0.239	0.424	3.49	0.878510029
BD55-5238	BD55-5238	0.218958	0.0146685	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0335833	0.00280253	--	--	--	3	0	3.52	2.981	3.137	2.863	3.365	3.297	3.348	3.163	3.307	3.256	3.237	2.963	1.221	0.511	3.074	0.166	0.231	1.391	0.096	0.14	1.16	0.102	0.577	3.455	0.832995658
BD55-5239	BD55-5239	0.323559	0.0183625	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0667224	0.00758342	--	--	--	3	2	3.54	3.31	3.4	3.14	3.37	3.22	3.32	3.381	3.285	3.415	3.44	2.822	0.222	3.45	3.27	0.3	0.48	0.125	3.203	1.443	0.15	2.398	1.976	3.414	0.421206796
BD55-5242	BD55-5242	0.0153684	0.00440689	0.0253218	0.0444588	Inf	Inf	Inf	Inf	Inf	0.0173367	0.000819777	--	--	--	3	2	3.55	3.09	3.33	3.07	3.41	2.93	3.14	3.4	3.214	3.44	3.481	3.152	3.231	3.02	3.24	3.35	2.8	3.143	3.459	3.314	3.493	3.276	0.619	3.355	0.815499255
BD55-5245	BD55-5245	0.578596	0.107105	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.108431	0.0209284	--	--	--	3	2	3.58	1.927	2.893	1.354	3.21	2.798	3.127	2.846	2.873	2.304	2.947	2.283	0.143	0.373	2.542	0.199	0.118	0.177	0.104	0.113	0.189	0.121	2.38	3.479	0.315895372
BD55-5248	BD55-5248	0.858887	7.05681	Inf	Inf	--	Inf	--	--	--	1.05909	0.0168296	--	--	--	3	2	3.49	3.37	3.3	3.37	3.44	3.21	3.18	--	--	--	--	--	--	3.47	3.22	3.41	3.1	--	--	--	--	--	--	--	--
BD55-5250	BD55-5250	1.6257	0.377907	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	9.91522	Inf	--	--	--	3	2	3.55	3.38	3.44	3.36	3.5	3.3	3.36	3.369	3.138	3.43	3.506	3.266	3.293	3.47	3.28	3.39	3.2	3.263	3.533	3.471	3.527	3.282	3.394	3.371	-0.006822901
BD55-5251	BD55-5251	0.832056	0.202726	8.9013	8.5581	6.31296	8.021	4.34092	4.9291	3.617	0.206227	2.37503	--	--	--	3	2	3.54	3.2	3.07	2.97	3.41	2.97	3.11	3.353	3.115	3.423	3.397	0.904	2.445	0.7	2.94	1.85	2.72	0.873	3.116	3.21	3.26	2.207	3.232	3.318	0.025919228
BD55-5256	BD55-5256	0.469952	0.034455	3.6984	2.49067	2.27538	1.96999	3.1748	1.9283	5.226831	3.22486	0.00851091	--	--	--	3	2	3.6	3.27	3.38	3.14	3.49	3.19	3.26	3.386	3.235	3.437	3.463	3.167	2.942	3.47	3.35	3.4	3.14	3.16	3.453	3.436	3.45	3.252	3.36	3.439	0.022971794
BD55-5259	BD55-5259	0.625	0.0021	3.901	5.99045	4.30483	3.77925	6.3301	3.0192	4.474783	0.021937	Inf	--	--	--	3	0	3.53	0.27	3.2	0.38	3.45	3.21	3.21	3.294	3.065	3.425	3.102	1.672	0.409	3.33	3	0.98	0.17	0.21	0.144	0.312	0.211	0.335	0.468	3.47	0.865129683
BD55-5263	BD55-5263	0.244248	0.0510634	1.7854	1.9224	1.77181	1.5884	1.96619	2.0128	2.46	0.295017	0.219096	--	--	--	3	2	3.55	2.85	3.15	2.44	3.43	3.11	3.21	3.343	3.366	3.468	3.42	1.57	3.147	2.38	3.05	3.29	3.06	2.057	3.352	3.247	3.221	2.99	2.01	3.507	0.426860565
BD55-5264	BD55-5264	1.68743	0.227783	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	10.9954	0.0165383	--	--	--	3	2	3.56	2.55	3.1	2.31	3.4	2.48	3.15	3.363	3.348	3.418	3.43	2.934	1.116	1.56	2.02	0.75	0.75	0.726	0.779	1.049	1.161	0.767	3.463	3.492	0.008304696
BD55-5265	BD55-5265	0.215532	0.0160134	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0390394	0.00458144	--	--	--	3	0	3.49	3.3	2.77	2.93	3.5	2.6	2.98	3.396	3.307	3.362	3.409	2.949	0.346	0.18	2.8	0.36	1.81	0.221	1.017	1.635	0.489	0.253	0.756	3.479	0.782696177
BD55-5267	BD55-5267	0.1224	0.0236	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.064498	0.00199256	--	--	--	2	0	3.45	3.04	3.38	2.54	3.41	2.63	3.04	3.343	3.223	3.387	3.439	2.972	0.336	0.33	3.24	0.23	0.17	0.262	1.387	0.257	0.361	0.222	0.751	3.468	0.783448674
BD55-5268	BD55-5268	0.730345	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	3.56323	--	--	--	3	2	3.47	3.204	0.764	2.152	3.317	3.293	3.339	3.11	3.19	3.066	3.198	3.127	2.616	3.091	2.992	3.069	3.056	2.867	2.263	2.704	2.672	2.06	3.297	3.338	0.012282804
BD55-5271	BD55-5271	0.976735	0.623049	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	27.0686	Inf	--	--	--	3	2	3.5	3.31	3.16	2.92	3.49	2.64	3.24	3.368	3.23	3.448	3.484	3.151	3.226	3.25	3.12	3.24	2.85	2.993	3.326	3.384	3.478	2.66	3.462	3.458	-0.001156738
BD55-5276	BD55-5276	0.1248	0.0335	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0701472	0.00411499	--	--	--	3	0	3.49	3.4	3.14	3	3.5	2.78	3.27	3.472	3.126	3.44	3.44	3.036	0.199	1.15	2.9	0.11	0.08	0.175	0.91	0.163	0.237	0.145	0.65	3.331	0.804863404
BD55-5284	BD55-5284	2.08977	--	--	--	--	Inf	--	--	--	--	--	--	--	--	3	2	3.439	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5286	BD55-5286	0.00114567	0.0089807	0.0928189	0.0419508	0.0573462	0.0427397	0.0423	0.050793	0.107637	0.707565	0.00965157	--	--	--	3	2	3.49	2.87	3.26	0.27	3.5	2.81	3.21	--	--	--	--	--	--	0.36	0.2	0.12	0.14	--	--	--	--	--	3.5349	3.5647	0.00835975
BD55-5293	BD55-5293	0.711	Inf	0.875235	1.55386	1.52	1.785225	1.14044	1.8921	Inf	0.219549	Inf	--	--	--	2	2	1.54	2.72	3.37	2.9	0.85	0.17	0.83	0.937	1.069	1.224	1.467	0.234	2.731	0.44	2.41	1.79	1.53	1.184	3.055	2.867	3.336	1.409	3.313	3.402	0.026161082
BD55-5296	BD55-5296	0.0810562	0.025814	0.725498	0.512695	Inf	Inf*	Inf*	Inf	Inf*	0.0501001	0.00735429	--	--	--	3	2	3.6	3.44	3.24	3.43	3.45	2.9	3.04	3.251	2.898	3.406	3.423	3.011	3.014	0.52	3.15	3.36	2.56	2.698	3.314	3.157	3.409	2.892	1.334	3.5	0.618857143
BD55-5300	BD55-5300	0.0051	0.006	0.00782975	0.00394858	0.00661792	0.00661792	0.00782975	0.003288	0.00547	0.0448188	Inf	--	--	--	3	2	3.35	0.33	3.3	0.21	3.47	2.86	3.19	3.375	3.306	3.452	3.402	1.3	0.213	2.98	3.37	0.37	0.08	0.145	2.19	0.11	0.147	0.195	1.779	3.494	0.490841442
BD55-5301	BD55-5301	0.0375571	0.00696735	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0695797	0.00172634	--	--	--	2	0	3.58	3.15	3.47	2.92	3.48	2.98	3.09	3.453	3.369	3.385	3.371	3.009	0.077	0.11	3.1	0.06	0.12	0.109	0.062	0.043	0.116	0.066	0.654	3.468	0.811418685
BD55-5303	BD55-5303	0.00130165	0.0071799	2.189	2.31361	5.64983	4.198863	3.323938	3.9921	3.340413	2.12119	0.438907	--	--	--	2	2	3.55	1.58	3.1	0.08	3.41	2.63	2.84	3.266	3.187	3.432	3.405	0.052	0.095	0.1	0.09	0.07	0.1	0.138	0.78	0.072	0.08	0.075	3.415	3.478	0.018113859
BD55-5304	BD55-5304	0.0181312	0.0210356	0.155147	0.112067	Inf	Inf	Inf	Inf	Inf	0.00612532	0.00176003	--	--	--	3	2	3.57	3.35	3.39	1.68	3.51	3.06	3.32	3.45	3.208	3.424	3.378	3.12	0.148	3.37	3.34	0.53	0.08	0.179	0.759	0.127	0.224	0.116	0.395	3.468	0.886101499
BD55-5305	BD55-5305	1.00382	0.0162634	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.579431	0.157704	--	--	--	3	0	3.51	1.33	3.09	1.69	3.42	2.9	3.27	3.481	3.218	3.466	3.425	1.862	0.298	1.65	3.26	0.2	0.09	0.249	0.906	0.298	0.361	0.248	1.977	3.495	0.434334764
BD55-5309	BD55-5309	0.384128	0.00721996	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	8.95065	0.0180799	--	--	--	3	2	3.52	3.38	3.37	3.19	3.44	3.15	3.12	3.428	3.054	3.457	3.412	3.216	3.283	0.54	3.08	3.39	3.2	3.095	3.318	3.327	3.404	3.08	3.344	3.346	0.000597729
BD55-5311	BD55-5311	Inf	0.409573	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.539	3.486	3.465	3.019	3.543	3.501	3.503	3.407	3.409	1.795	3.466	3.31	3.348	3.452	3.486	3.516	3.462	3.431	3.317	3.363	3.453	2.918	3.405	3.454	0.01418645
BD55-5313	BD55-5313	0.822119	0.0153478	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	22.2553	0.0103682	--	--	--	3	2	3.56	3.27	3.42	3.06	3.47	2.89	3.17	3.439	3.038	3.477	3.317	3.208	3.274	3.25	2.99	3.33	3.12	3.153	3.35	3.357	3.429	3.262	3.49	3.509	0.005414648
BD55-5319	BD55-5319	0.015	0.013	0.158867	0.9783095	0.367389	0.312777	0.1546665	0.2872	0.359721	Inf	Inf*	--	--	--	2	2	3.51	0.26	1.68	0.44	3.43	2.74	1.13	1.76	1.652	3.423	3.398	0.056	0.121	1.59	0.07	0.11	0.17	0.122	0.082	0.107	0.18	0.207	3.491	3.519	0.007956806
BD55-5320	BD55-5320	0.8585	0.00664274	4.744845	4.3417	--	4.393478	--	--	--	3.62801	Inf	--	--	--	3	2	3.51	3.12	3.57	3.34	3.43	2.86	3.11	--	--	--	--	--	--	3.29	3.39	3.38	3.18	--	--	--	--	--	--	--	--
BD55-5323	BD55-5323	1.76239	0.00494231	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0463748	Inf*	--	--	--	3	0	3.57	0.07	3.4	0.18	3.41	3.04	3.25	3.316	3.263	3.506	3.453	0.055	0.341	0.19	1.71	0.2	0.05	0.118	1.052	0.052	0.06	0.118	3.16	3.493	0.095333524
BD55-5324	BD55-5324	0.0503077	0.0012967	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0114148	1.15298	--	--	--	3	0	3.56	0.19	3.27	1.58	3.36	3.12	3.13	3.429	3.274	3.461	3.454	1.277	0.169	3.28	0.16	0.13	0.09	0.136	0.104	0.106	0.116	0.094	1.315	3.27	0.597859327
BD55-5325	BD55-5325	0.8943	0.0069	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0985971	Inf*	--	--	--	3	0	3.61	0.43	3.4	0.56	3.42	2.96	3.39	3.439	3.302	3.439	3.399	2.745	0.16	3.47	3.4	0.51	0.08	0.173	0.13	0.102	0.198	0.09	3.354	3.506	0.04335425
